fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
2,word,50,description_svd_22,0.004552643284121258,0.20609634286529327,5000
2,word,50,description_svd_23,0.0044540216681322456,0.21055036453342552,5000
2,word,50,description_svd_24,0.004381962882851064,0.21493232741627658,5000
2,word,50,description_svd_25,0.004236440942137732,0.2191687683584143,5000
2,word,50,description_svd_26,0.004159576723275556,0.22332834508168986,5000
2,word,50,description_svd_27,0.004104751316967296,0.22743309639865716,5000
2,word,50,description_svd_28,0.003943780061178124,0.2313768764598353,5000
2,word,50,description_svd_29,0.0038715946875472677,0.23524847114738257,5000
2,word,50,description_svd_30,0.0037374097819146677,0.23898588092929723,5000
2,word,50,description_svd_31,0.0037059963887506337,0.24269187731804787,5000
2,word,50,description_svd_32,0.003521682951164881,0.24621356026921276,5000
2,word,50,description_svd_33,0.0034734878359647605,0.24968704810517753,5000
2,word,50,description_svd_34,0.0034539665382815484,0.25314101464345906,5000
2,word,50,description_svd_35,0.003423538749474029,0.2565645533929331,5000
2,word,50,description_svd_36,0.003360637782403329,0.2599251911753364,5000
2,word,50,description_svd_37,0.0032313260803633567,0.2631565172556998,5000
2,word,50,description_svd_38,0.0031531286604478716,0.26630964591614764,5000
2,word,50,description_svd_39,0.0030983927705044165,0.2694080386866521,5000
2,word,50,description_svd_40,0.003045412724946907,0.272453451411599,5000
2,word,50,description_svd_41,0.0029515145352208044,0.2754049659468198,5000
2,word,50,description_svd_42,0.002922556979034335,0.2783275229258541,5000
2,word,50,description_svd_43,0.0028769768607585272,0.28120449978661266,5000
2,word,50,description_svd_44,0.002841556190452179,0.28404605597706484,5000
2,word,50,description_svd_45,0.0027707520835985656,0.2868168080606634,5000
2,word,50,description_svd_46,0.002717216111390935,0.2895340241720543,5000
2,word,50,description_svd_47,0.002647601258605028,0.29218162543065934,5000
2,word,50,description_svd_48,0.0026130873510427856,0.2947947127817021,5000
2,word,50,description_svd_49,0.002596953216483488,0.2973916659981856,5000
2,word,50,description_svd_50,0.0025648762205724607,0.29995654221875806,5000
3,word,10,description_svd_01,0.010689955865615261,0.010689955865615261,5000
3,word,10,description_svd_02,0.03871486114954451,0.04940481701515977,5000
3,word,10,description_svd_03,0.015779981348309456,0.06518479836346923,5000
3,word,10,description_svd_04,0.01471635809099426,0.0799011564544635,5000
3,word,10,description_svd_05,0.012770416567436603,0.0926715730219001,5000
