price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,number_of_floors,total_units,property_type,tenure_type,land_title,floor_range,state,city
550000,1050.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,1999.0,9.0,36.0,Condominium,Freehold,Non Bumi Lot,Low,Penang,Jelutong
190000,750.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,High,Penang,Butterworth
125000,500.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Bumi Lot,High,Penang,Teluk Kumbar
538000,1539.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,,15.0,192.0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor,Puchong
320000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,2008.0,29.0,,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
303000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,2008.0,29.0,,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
320000,800.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1998.0,21.0,406.0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang,George Town
150000,550.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,Low,Johor,Perling
270000,904.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,Apartment,Leasehold,Non Bumi Lot,Unknown,Penang,Butterworth
300000,1000.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,Condominium,Freehold,Bumi Lot,Low,Sabah,Papar
570000,622.0,1.0,1.0,1.0,5,1,0,1,0,1,1,0,2018.0,38.0,1163.0,Service Residence,Leasehold,Non Bumi Lot,High,Kuala Lumpur,Kuala Lumpur
420000,800.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,2006.0,18.0,182.0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Jelutong
348000,640.0,1.0,1.0,1.0,11,0,0,0,0,0,0,0,2018.0,,1050.0,Condominium,Freehold,Non Bumi Lot,High,Johor,Johor Bahru
365000,922.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,,14.0,,Apartment,Freehold,Non Bumi Lot,High,Selangor,Seri Kembangan
