price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,property_type,tenure_type,land_title,floor_range,state
450000,950.0,3.0,2.0,2.0,4,1,1,0,1,1,1,0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur
178000,776.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Low,Selangor
220000,650.0,3.0,1.0,1.0,3,1,0,1,0,0,1,0,Apartment,Freehold,Bumi Lot,Medium,Selangor
245000,850.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor
300000,932.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
230000,656.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,High,Penang
630000,1340.0,4.0,2.0,1.0,7,1,1,1,1,1,0,0,Condominium,Leasehold,Bumi Lot,Low,Kuala Lumpur
150000,688.0,3.0,2.0,1.0,1,0,0,0,0,1,0,0,Flat,Leasehold,Bumi Lot,Low,Selangor
235000,603.0,3.0,1.0,1.0,3,1,1,0,1,1,1,0,Apartment,Leasehold,Bumi Lot,High,Kuala Lumpur
450000,1048.0,3.0,2.0,2.0,10,1,0,0,0,0,1,0,Apartment,Leasehold,Bumi Lot,Low,Kuala Lumpur
345000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
345000,750.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
276000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Penang
260000,700.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Penang
300000,970.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Penang
555000,1200.0,3.0,2.0,2.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Penang
290000,900.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Medium,Melaka
339000,1021.0,3.0,2.0,1.0,2,1,1,0,0,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur
288000,810.0,3.0,2.0,1.0,4,1,0,0,0,0,1,0,Condominium,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur
220000,1046.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor
560000,1045.0,3.0,3.0,1.0,10,1,0,0,1,1,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur
380000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
340000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
400000,900.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
350000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
250000,750.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
260000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Unknown,Penang
399000,800.0,2.0,2.0,1.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
329000,1082.0,3.0,3.0,1.0,10,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Selangor
550000,1050.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Penang
190000,750.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,High,Penang
125000,500.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Bumi Lot,High,Penang
538000,1539.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
320000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
303000,800.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
320000,800.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
150000,550.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Low,Johor
270000,904.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Penang
300000,1000.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Bumi Lot,Low,Sabah
570000,622.0,1.0,1.0,1.0,5,1,0,1,0,1,1,0,Service Residence,Leasehold,Non Bumi Lot,High,Kuala Lumpur
420000,800.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang
348000,640.0,1.0,1.0,1.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Johor
365000,922.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Selangor
420000,1045.0,3.0,2.0,1.0,10,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Johor
547000,2293.0,5.0,4.0,2.0,14,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor
488000,1722.0,4.0,2.0,1.0,9,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Johor
170000,760.0,3.0,2.0,1.0,13,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Selangor
530000,1000.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
320000,1288.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Selangor
443000,950.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Johor
250000,852.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,Apartment,Leasehold,Non Bumi Lot,Medium,Selangor
1500000,1378.0,2.0,3.0,1.0,7,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Sarawak
700000,1000.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Sarawak
480000,947.0,2.0,2.0,2.0,10,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Penang
688000,1257.0,3.0,2.0,2.0,10,1,1,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,High,Kuala Lumpur
300000,1038.0,3.0,2.0,2.0,8,1,0,0,1,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor
1500000,1000.0,3.0,2.0,2.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
780000,1600.0,4.0,3.0,1.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
950000,1352.0,3.0,2.0,2.0,6,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
532000,1171.0,3.0,2.0,1.0,11,0,0,1,0,0,1,0,Condominium,Leasehold,Non Bumi Lot,Low,Kuala Lumpur
395000,1155.0,3.0,2.0,3.0,9,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang
578000,1422.0,4.0,3.0,1.0,9,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Selangor
320000,1012.0,3.0,2.0,2.0,10,1,0,0,1,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor
750000,1432.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
600000,933.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,High,Sarawak
575000,815.0,2.0,2.0,2.0,6,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
495000,933.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,Medium,Sarawak
715000,1004.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak
500000,590.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Sarawak
299900,852.0,3.0,2.0,1.0,6,1,0,0,0,1,1,0,Apartment,Leasehold,Non Bumi Lot,High,Selangor
270000,800.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor
510000,1000.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
65000,743.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,High,Johor
930000,1464.0,4.0,3.0,2.0,7,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Penang
299900,852.0,3.0,2.0,1.0,6,1,0,0,0,1,1,0,Apartment,Leasehold,Non Bumi Lot,High,Selangor
1030000,1400.0,3.0,3.0,2.0,0,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang
470000,1936.0,3.0,2.0,3.0,1,1,0,0,1,0,0,0,Apartment,Leasehold,Non Bumi Lot,Unknown,Selangor
2680000,2101.0,3.0,4.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Penang
220000,753.0,3.0,2.0,1.0,12,0,1,0,0,1,1,0,Service Residence,Leasehold,Non Bumi Lot,Low,Selangor
225000,712.0,2.0,1.0,1.0,5,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Sabah
368000,925.0,3.0,2.0,1.0,6,1,0,0,0,1,1,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor
550000,1200.0,3.0,3.0,2.0,5,1,1,0,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur
320000,850.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,Apartment,Leasehold,Bumi Lot,Low,Selangor
268000,1055.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Selangor
330000,900.0,3.0,2.0,1.0,13,0,0,0,0,0,0,0,Apartment,Freehold,Bumi Lot,Low,Selangor
