Experiment_Type,Model,Trim_Level,Removal_Percent,Fold,Training_Rows_Before,Training_Rows_Removed,Training_Rows_Retained,Actual_Removal_Pct,Training_Derived_Cutoff_RM,Maximum_Retained_Training_Price_RM,Validation_Rows,Validation_Rows_Removed,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM
training_only,Random Forest,F,10.0,5,3033,303,2730,9.990108803165183,695000.0,695000.0,758,0,186975.2633698425,78812.6290719827,0.6606771506841838,0.645700142162658,32398.255806371963
trimmed_population,LightGBM + Position Features,A,0.0,1,3034,0,3034,0.0,,6016000.0,757,0,114193.50062347451,61739.51591760603,0.8738712426406743,0.8655100979356132,35795.87250684516
trimmed_population,LightGBM + Position Features,A,0.0,2,3036,0,3036,0.0,,5000000.0,755,0,122745.8607338449,60340.183225917026,0.8971452145416183,0.8903076262579636,31023.72629717682
trimmed_population,LightGBM + Position Features,A,0.0,3,3032,0,3032,0.0,,6016000.0,759,0,123977.04605277181,59341.04941531262,0.8069942886337422,0.7942358238880121,31918.15876625298
trimmed_population,LightGBM + Position Features,A,0.0,4,3029,0,3029,0.0,,6016000.0,762,0,115688.76807852137,64262.69249511253,0.8792713772496827,0.8713242550238215,34639.012341014684
trimmed_population,LightGBM + Position Features,A,0.0,5,3033,0,3033,0.0,,6016000.0,758,0,135863.62464163365,63874.1782791726,0.8208358178773486,0.8089756537086661,34118.95905328059
trimmed_population,LightGBM + Position Features,B,0.5,1,3034,15,3019,0.4943968358602505,2281000.0000000037,2280000.0,753,4,94131.35842980126,56364.272326462495,0.8584914997397983,0.8490575997224515,34806.378701345355
trimmed_population,LightGBM + Position Features,B,0.5,2,3036,14,3022,0.461133069828722,2281000.0000000037,2280000.0,750,5,101684.31590911934,55553.44885993053,0.8342097530093915,0.8231098361880829,31167.996091278037
trimmed_population,LightGBM + Position Features,B,0.5,3,3032,14,3018,0.46174142480211083,2281000.0000000037,2280000.0,754,5,98077.99307272976,53140.71918374764,0.8283634195959504,0.816937188322593,31061.8296178031
trimmed_population,LightGBM + Position Features,B,0.5,4,3029,17,3012,0.5612413337735226,2281000.0000000037,2250000.0,760,2,104802.2230234974,60641.65081169019,0.85727744552432,0.8478561533047175,36892.57903958425
trimmed_population,LightGBM + Position Features,B,0.5,5,3033,16,3017,0.5275304978569073,2281000.0000000037,2280000.0,755,3,97705.5409323586,58637.22523767091,0.8651766766166413,0.8562138814270828,35485.76101233467
trimmed_population,LightGBM + Position Features,C,1.0,1,3034,25,3009,0.8239947264337508,1700000.0,1700000.0,749,8,86548.26025712828,55003.19212623655,0.8415071994935586,0.8308807207149527,32979.29345766042
trimmed_population,LightGBM + Position Features,C,1.0,2,3036,26,3010,0.8563899868247694,1700000.0,1700000.0,748,7,95177.6247935303,55514.419141136146,0.8364653410478772,0.825485156803949,32463.2000779729
trimmed_population,LightGBM + Position Features,C,1.0,3,3032,27,3005,0.8905013192612138,1700000.0,1700000.0,753,6,92067.93935435214,52595.410872532964,0.8393336550567667,0.8286225653938845,31901.01961316573
trimmed_population,LightGBM + Position Features,C,1.0,4,3029,28,3001,0.924397490921096,1700000.0,1700000.0,757,5,102241.68852430918,60088.15439045754,0.8422205759545398,0.8317612911447562,35371.54668620753
trimmed_population,LightGBM + Position Features,C,1.0,5,3033,26,3007,0.8572370590174745,1700000.0,1700000.0,751,7,92940.11416760062,56792.502675806136,0.8528507600555932,0.8430129019085276,35051.695844286325
trimmed_population,LightGBM + Position Features,D,2.5,1,3034,76,2958,2.5049439683586026,1200000.0,1200000.0,742,15,79019.82274560678,51928.63964688854,0.8414255722196597,0.8306863818656598,32281.254848469456
trimmed_population,LightGBM + Position Features,D,2.5,2,3036,73,2963,2.404479578392622,1200000.0,1200000.0,737,18,81510.42288282404,50249.15187293916,0.831276300441251,0.8197668463349213,30142.077787964663
trimmed_population,LightGBM + Position Features,D,2.5,3,3032,75,2957,2.4736147757255935,1200000.0,1200000.0,743,16,75090.7569479926,48257.296722464256,0.8508212652504391,0.8407329191594616,31752.564467136806
trimmed_population,LightGBM + Position Features,D,2.5,4,3029,68,2961,2.2449653350940904,1200000.0,1200000.0,739,23,79669.87404852874,53199.57891179962,0.8359136553458999,0.8247529343636384,35046.25657086988
trimmed_population,LightGBM + Position Features,D,2.5,5,3033,72,2961,2.3738872403560833,1200000.0,1200000.0,739,19,90361.93797750819,55835.43790356809,0.8097986339812577,0.796861638029187,35474.35608547204
trimmed_population,LightGBM + Position Features,E,5.0,1,3034,156,2878,5.1417270929466055,905000.0,900000.0,723,34,73416.74593905665,48829.42967486334,0.8105519482640733,0.7973607505876458,31964.85572860652
trimmed_population,LightGBM + Position Features,E,5.0,2,3036,147,2889,4.841897233201581,905000.0,900000.0,712,43,69381.70104049529,45991.41606105815,0.816921168341662,0.8039622751369302,29764.717657863046
trimmed_population,LightGBM + Position Features,E,5.0,3,3032,158,2874,5.211081794195251,905000.0,900000.0,727,32,69586.57799499815,45781.75991078521,0.8290639886628541,0.817231893621844,30668.498370508896
trimmed_population,LightGBM + Position Features,E,5.0,4,3029,152,2877,5.018157807857379,905000.0,900000.0,724,38,74800.17224084528,50232.65366574434,0.8123224132374594,0.7992738236252709,32066.35825407671
trimmed_population,LightGBM + Position Features,E,5.0,5,3033,147,2886,4.8466864490603365,905000.0,900000.0,715,43,74919.20989052771,48748.22638207559,0.806967829109442,0.7933658620451898,32251.857323893142
trimmed_population,LightGBM + Position Features,F,10.0,1,3034,309,2725,10.184574818721162,699999.0,699999.0,687,70,62156.490507262555,43807.70029490824,0.8045733822485024,0.7901992804733531,31114.378347636433
trimmed_population,LightGBM + Position Features,F,10.0,2,3036,303,2733,9.980237154150199,699999.0,699999.0,679,76,58515.10498542438,41147.87674787839,0.812521348498081,0.7985570115399349,28603.593512310617
trimmed_population,LightGBM + Position Features,F,10.0,3,3032,309,2723,10.191292875989445,699999.0,699999.0,689,70,61867.97676692058,41997.445943862105,0.8065315506667857,0.7923458765347091,26830.077595057897
trimmed_population,LightGBM + Position Features,F,10.0,4,3029,294,2735,9.706173654671508,699999.0,699999.0,677,85,62842.0129820147,44529.444902226984,0.79990818288195,0.7849569660225726,31502.705545270874
trimmed_population,LightGBM + Position Features,F,10.0,5,3033,301,2732,9.924167490933069,699999.0,698000.0,680,78,63703.7471276477,43512.69028808841,0.8069997474300639,0.7926468805459073,30651.687541361287
