variant,fold,metric_source,train_rows,validation_rows,count,rmse_rm,mae_rm,r2,top5_count,top5_rmse_rm,top5_mae_rm
E_missing_lt5,4,original_model_matched,2820,705,705,109735.75193142044,56924.63928339932,0.8694620347602141,27,437383.30045443936,296976.11849754176
E_missing_lt5,5,retrained,2820,705,705,136017.30579148585,65332.1954860216,0.8233547473294474,40,468684.26637166954,312275.97065506264
E_missing_lt5,5,original_model_matched,2820,705,705,139311.649598475,67005.43457354154,0.8146944173021248,40,481173.56153888116,352861.0936152023
F_completeness_ge80,1,retrained,2185,547,547,132112.80327389986,67847.87451444133,0.9044247856758139,34,445052.7413711694,328161.1058551293
F_completeness_ge80,1,original_model_matched,2185,547,547,102211.94057950709,60063.31114189484,0.9427917408348826,34,309270.5494534379,252096.03078114253
F_completeness_ge80,2,retrained,2185,547,547,129693.11751437426,60189.22786630521,0.8576979782493328,41,402815.4282680658,230769.7596806305
F_completeness_ge80,2,original_model_matched,2185,547,547,121855.6137772615,62367.41599071068,0.8743772507061647,41,357527.1725745076,249827.1568010682
F_completeness_ge80,3,retrained,2186,546,546,108031.82241070147,63841.22751513298,0.8644395459561351,34,308780.69822208356,240374.9241122505
F_completeness_ge80,3,original_model_matched,2186,546,546,113008.29311994044,64639.37013887237,0.8516627440578295,34,321779.7106755499,241504.3583539621
F_completeness_ge80,4,retrained,2186,546,546,157596.2913726531,73120.89325410895,0.817631087087332,40,510356.34580534324,369421.11273114185
F_completeness_ge80,4,original_model_matched,2186,546,546,159705.38984789417,74561.89780204573,0.8127171674045816,40,517148.7335294531,395209.25548161764
F_completeness_ge80,5,retrained,2186,546,546,107921.80342833596,60996.00500813339,0.8683551469580637,23,359205.7676685948,253928.1453376281
F_completeness_ge80,5,original_model_matched,2186,546,546,100414.67197893569,55945.11097940243,0.8860328090863289,23,307335.2330715634,200114.7544179207
G_completeness_ge90,1,retrained,1320,331,331,161248.4046338227,81550.21556010927,0.8017243316731028,33,428162.03292361693,293941.21811019105
G_completeness_ge90,1,original_model_matched,1320,331,331,139211.56375648748,77030.51118772225,0.8522153956399031,33,324111.06377558404,236997.19980676772
G_completeness_ge90,2,retrained,1321,330,330,126718.63983954114,66081.14163118323,0.8660092415941676,29,361051.98770823586,231521.47214247813
G_completeness_ge90,2,original_model_matched,1321,330,330,122157.24386063167,66444.26307837786,0.875481955705992,29,343794.1662933489,260408.99565507972
G_completeness_ge90,3,retrained,1321,330,330,142369.06551626182,71111.64347624521,0.8596907897827125,24,456666.15216234175,330872.79937324254
G_completeness_ge90,3,original_model_matched,1321,330,330,127724.21781018225,69308.83869871787,0.8870720577342923,24,377097.93619879964,274466.2169333955
G_completeness_ge90,4,retrained,1321,330,330,112244.08811248,70359.88157406113,0.7990833913758103,24,268943.2396083473,209367.1139054223
G_completeness_ge90,4,original_model_matched,1321,330,330,98400.95319612397,58856.590972367885,0.8455857068902727,24,246700.40199744707,194575.9920813935
G_completeness_ge90,5,retrained,1321,330,330,180615.21755236623,82340.71011211596,0.8278309626486288,25,571028.8531229057,383435.7928774194
G_completeness_ge90,5,original_model_matched,1321,330,330,176686.8431196648,79685.92963770598,0.8352388568441309,25,565739.819501325,389847.50601230084
H_missing_indicators,1,retrained,3032,759,759,109702.78602730582,59624.53590610856,0.8764600053479035,36,384757.3993939908,297600.1200433971
H_missing_indicators,1,original_model_matched,3032,759,759,109737.36309210744,60086.553124787584,0.8763821162852261,36,380740.0770762966,304157.53360838146
H_missing_indicators,2,retrained,3033,758,758,114422.92625205539,61086.70863456736,0.913270428380567,47,347624.064856317,262364.82063652156
H_missing_indicators,2,original_model_matched,3033,758,758,114708.85852815118,61670.59079973808,0.9128364284897903,47,354618.7796164966,268382.43547989335
