Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Gradient Boosting,2.5%,2.5,99124107,3,380000.0,395748.6988891006
Gradient Boosting,2.5%,2.5,102007920,5,800000.0,878514.9595217161
Gradient Boosting,2.5%,2.5,103389873,4,840000.0,859789.2367927586
Gradient Boosting,2.5%,2.5,103159773,3,520000.0,504680.189945507
Gradient Boosting,2.5%,2.5,103159404,4,388000.0,394784.3446280632
Gradient Boosting,2.5%,2.5,103114521,2,393000.0,388232.8559326495
Gradient Boosting,2.5%,2.5,102451882,5,313000.0,308671.73080733634
Gradient Boosting,2.5%,2.5,97836584,1,220000.0,246744.6458623332
Gradient Boosting,2.5%,2.5,100485937,3,105000.0,110792.5214137176
Gradient Boosting,2.5%,2.5,103781078,2,265000.0,248007.55120268464
Gradient Boosting,2.5%,2.5,98288764,5,115000.0,257335.570169029
Gradient Boosting,2.5%,2.5,103527272,1,380000.0,400795.25621748535
Gradient Boosting,2.5%,2.5,103269285,2,445000.0,428930.4801428981
Gradient Boosting,2.5%,2.5,96977618,2,600000.0,689713.3724027945
Gradient Boosting,2.5%,2.5,98543362,5,460000.0,455259.49080097966
Gradient Boosting,2.5%,2.5,100561066,2,530000.0,558987.2358907715
Gradient Boosting,2.5%,2.5,98459567,4,350000.0,372281.5688341872
Gradient Boosting,2.5%,2.5,103623620,4,99000.0,141826.97301725912
Gradient Boosting,2.5%,2.5,102707673,1,500000.0,475082.5496119615
Gradient Boosting,2.5%,2.5,102579289,2,430000.0,408531.11017536605
Gradient Boosting,2.5%,2.5,102553262,5,249000.0,253299.3065972218
Gradient Boosting,2.5%,2.5,102515753,1,1150000.0,1202508.0591355367
Gradient Boosting,2.5%,2.5,103631879,2,500000.0,620360.5750574114
Gradient Boosting,2.5%,2.5,103781295,2,538000.0,383590.4893241254
Gradient Boosting,2.5%,2.5,102852007,1,245000.0,262368.55644569435
Gradient Boosting,2.5%,2.5,103781280,4,420000.0,365740.679541347
Gradient Boosting,2.5%,2.5,103753694,3,600000.0,528169.3331337882
Gradient Boosting,2.5%,2.5,103556824,3,375000.0,416530.1218002852
Gradient Boosting,2.5%,2.5,100890052,1,180000.0,218162.2416112618
Gradient Boosting,2.5%,2.5,103669450,3,225000.0,239267.19364744035
Gradient Boosting,2.5%,2.5,102895682,1,295000.0,266890.1374322294
Gradient Boosting,2.5%,2.5,103781077,1,380000.0,381355.05366942333
Gradient Boosting,2.5%,2.5,103781073,5,420000.0,464602.95900921064
Gradient Boosting,2.5%,2.5,103781072,5,415000.0,410938.8257692701
Gradient Boosting,2.5%,2.5,103781057,4,339000.0,438777.8186170885
Gradient Boosting,2.5%,2.5,103781045,3,410000.0,365549.5657392611
Gradient Boosting,2.5%,2.5,103781044,1,140000.0,177253.5376445071
Gradient Boosting,2.5%,2.5,102784475,2,430000.0,394258.5960016722
Gradient Boosting,2.5%,2.5,101191014,5,315000.0,417234.58636862424
Gradient Boosting,2.5%,2.5,103008080,3,310000.0,438896.89977178763
Gradient Boosting,2.5%,2.5,102055151,3,520000.0,346139.06709447433
Gradient Boosting,2.5%,2.5,103781243,4,360000.0,362678.8767771374
Gradient Boosting,2.5%,2.5,103527251,4,390000.0,523202.0981574309
Gradient Boosting,2.5%,2.5,96038285,5,318000.0,334442.6358521685
Gradient Boosting,2.5%,2.5,99397738,4,700000.0,628358.2878471132
Gradient Boosting,2.5%,2.5,55766395,3,350000.0,456206.29431669554
Gradient Boosting,2.5%,2.5,103781209,2,379888.0,332610.25704470597
Gradient Boosting,2.5%,2.5,103781207,4,228000.0,238775.0574408893
Gradient Boosting,2.5%,2.5,103781205,2,238000.0,225915.73386384107
Gradient Boosting,2.5%,2.5,103054381,4,358000.0,389009.6749667485
Gradient Boosting,2.5%,2.5,103462308,5,393000.0,379328.14774353674
Gradient Boosting,2.5%,2.5,103359466,3,320000.0,292323.0537681113
Gradient Boosting,2.5%,2.5,103359458,1,425000.0,456095.712964977
Gradient Boosting,2.5%,2.5,103781195,5,388000.0,399278.7462956749
Gradient Boosting,2.5%,2.5,103781190,5,220000.0,178455.76784917727
Gradient Boosting,2.5%,2.5,103465097,5,178000.0,181847.67487060154
Gradient Boosting,2.5%,2.5,103781177,3,450000.0,324801.1407990365
Gradient Boosting,2.5%,2.5,103781023,1,450000.0,408503.14036995673
Gradient Boosting,2.5%,2.5,103781015,4,289000.0,323741.67839867785
Gradient Boosting,2.5%,2.5,103781173,4,360000.0,344211.01703213056
Gradient Boosting,2.5%,2.5,102979967,1,160000.0,233587.3448640211
