Model,Candidate_ID,Parameters_JSON,CV_RMSE_RM,CV_MAE_RM,CV_R2,CV_Adjusted_R2,Candidate_Rank,Selected
Gradient Boosting,47,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.9, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.8}",126482.18730500627,62814.51053669127,0.8528233486829643,0.8515701148239582,15,False
Gradient Boosting,7,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 5, ""max_features"": 0.9, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 1.0}",126593.23827560335,61741.234088199664,0.8525647939352092,0.8513093584391812,16,False
Gradient Boosting,38,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 0.8}",126704.8182413396,61815.1337579557,0.8523047790183933,0.8510471294517591,17,False
Gradient Boosting,12,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 4, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.7}",126784.52324700585,63975.79649028182,0.8521189020919365,0.8508596697521127,18,False
Gradient Boosting,55,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 0.8}",126830.22283081117,62255.46801597691,0.8520122751561545,0.8507521348700973,19,False
Gradient Boosting,39,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.8}",126855.47578860672,62691.40096643422,0.8519533381026192,0.8506926959576708,20,False
Gradient Boosting,32,"{""learning_rate"": 0.02, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",126953.28854759813,62667.6671043389,0.8517249453564892,0.8504623584090192,21,False
Gradient Boosting,54,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.9}",127100.00670297482,61162.68332273296,0.8513820284691198,0.8501165215268665,22,False
Gradient Boosting,60,"{""learning_rate"": 0.02, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.9}",127320.45572260937,63100.677664134084,0.8508660395301987,0.8495961388556288,23,False
Gradient Boosting,59,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.9}",127371.19174247472,65470.0728058775,0.8507471588504085,0.8494762458869207,24,False
Gradient Boosting,4,"{""learning_rate"": 0.07, ""loss"": ""huber"", ""max_depth"": 2, ""max_features"": 0.9, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.9}",127454.10305852277,63837.07162346077,0.8505527855868915,0.8492802175024797,25,False
Gradient Boosting,27,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.8}",127623.97761566524,62779.467060550225,0.8501541448651057,0.8488781822881188,26,False
Gradient Boosting,18,"{""learning_rate"": 0.02, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 1.0}",128290.19849656196,65248.45034814992,0.8485856150920164,0.8472962962210596,27,False
Gradient Boosting,48,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",128507.58076933971,63686.92122238006,0.8480720499112928,0.846778357946727,28,False
Gradient Boosting,49,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 4, ""max_features"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.8}",128574.4626931877,64468.93420922343,0.8479138665926055,0.8466188276705627,29,False
Gradient Boosting,53,"{""learning_rate"": 0.02, ""loss"": ""huber"", ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.7}",128594.49543836535,63937.71646905738,0.8478664708650259,0.8465710283604173,30,False
Gradient Boosting,1,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""random_state"": 42}",128882.87857175295,63363.75760496543,0.8471833632764538,0.8458821039962108,31,False
Gradient Boosting,23,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",129280.52048342448,66952.06399824772,0.8462389392960741,0.8449296380873126,32,False
Gradient Boosting,56,"{""learning_rate"": 0.1, ""loss"": ""huber"", ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 1.0}",129303.33967953762,64327.14037852269,0.8461846540341518,0.8448748905772845,33,False
